Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases,Date
713,42.0,Male,Blouse,Clothing,81.0,New Hampshire,XL,Black,Summer,3.8,Yes,Next Day Air,Yes,Yes,36,Bank Transfer,Quarterly,08/03/2023
714,37.0,Male,Hoodie,Clothing,90.0,Oregon,M,Lavender,Summer,2.6,Yes,Express,Yes,Yes,39,Bank Transfer,Bi-Weekly,08/03/2023
715,26.0,Male,Jacket,Outerwear,70.0,South Dakota,M,Magenta,Fall,4.4,Yes,Store Pickup,Yes,Yes,40,Debit Card,Fortnightly,08/03/2023
716,33.0,Male,Jeans,Clothing,63.0,Delaware,L,Green,Spring,2.6,Yes,Express,Yes,Yes,37,Debit Card,Quarterly,08/03/2023
717,30.0,Male,Jewelry,Accessories,29.0,Missouri,M,Olive,Spring,3.6,Yes,Express,Yes,Yes,9,Venmo,Bi-Weekly,08/03/2023
718,21.0,Male,Socks,Clothing,90.0,Alaska,L,Green,Spring,4.2,Yes,Express,Yes,Yes,7,Venmo,Every 3 Months,08/03/2023
719,22.0,Male,Shirt,Clothing,22.0,Florida,M,Peach,Summer,4.6,Yes,Standard,Yes,Yes,25,Bank Transfer,Annually,09/03/2023
720,63.0,Male,Shorts,Clothing,22.0,Mississippi,L,Turquoise,Summer,3.3,Yes,Next Day Air,Yes,Yes,42,Venmo,Bi-Weekly,09/03/2023
721,33.0,Male,Jewelry,Accessories,62.0,New Mexico,L,Orange,Fall,3.4,Yes,Free Shipping,Yes,Yes,19,Debit Card,Weekly,09/03/2023
722,43.0,Male,Blouse,Clothing,57.0,California,L,Silver,Summer,4.4,Yes,Next Day Air,Yes,Yes,41,Debit Card,Every 3 Months,09/03/2023
723,27.0,Male,Sweater,Clothing,32.0,Wyoming,S,Blue,Summer,4.3,Yes,Store Pickup,Yes,Yes,50,Cash,Bi-Weekly,09/03/2023
724,35.0,Male,Jewelry,Accessories,53.0,Missouri,L,Cyan,Fall,3.5,Yes,Express,Yes,Yes,43,PayPal,Monthly,09/03/2023
725,37.0,Male,T-shirt,Clothing,79.0,New Hampshire,XL,Green,Fall,4.7,Yes,Store Pickup,Yes,Yes,36,Venmo,Every 3 Months,09/03/2023
726,61.0,Male,Hat,Accessories,61.0,Texas,L,Silver,Winter,3.1,Yes,Standard,Yes,Yes,33,Debit Card,Fortnightly,09/03/2023
727,32.0,Male,Shorts,Clothing,78.0,North Dakota,L,Yellow,Summer,3.6,Yes,Next Day Air,Yes,Yes,20,Bank Transfer,Every 3 Months,09/03/2023
728,62.0,Male,Sweater,Clothing,97.0,Arkansas,S,Gray,Winter,4.8,Yes,Next Day Air,Yes,Yes,37,Venmo,Every 3 Months,09/03/2023
729,29.0,Male,Jeans,Clothing,78.0,Nebraska,M,Pink,Winter,3.7,Yes,Next Day Air,Yes,Yes,12,PayPal,Every 3 Months,09/03/2023
730,41.0,Male,Sunglasses,Accessories,56.0,Minnesota,L,Beige,Summer,3.2,Yes,Express,Yes,Yes,46,PayPal,Every 3 Months,10/03/2023
731,48.0,Male,Boots,Footwear,25.0,Massachusetts,M,Indigo,Summer,3.9,Yes,Standard,Yes,Yes,28,Venmo,Fortnightly,10/03/2023
732,43.0,Male,Coat,Outerwear,28.0,Arkansas,M,Red,Spring,3.5,Yes,Free Shipping,Yes,Yes,30,PayPal,Fortnightly,10/03/2023
733,34.0,Male,Shirt,Clothing,57.0,New Hampshire,L,Blue,Spring,2.8,Yes,Express,Yes,Yes,28,Cash,Bi-Weekly,10/03/2023
734,45.0,Male,Dress,Clothing,36.0,Rhode Island,L,Cyan,Fall,2.7,Yes,2-Day Shipping,Yes,Yes,20,Debit Card,Bi-Weekly,10/03/2023
735,65.0,Male,Shirt,Clothing,69.0,New Jersey,S,Violet,Winter,3.1,Yes,Express,Yes,Yes,39,Bank Transfer,Every 3 Months,10/03/2023
736,61.0,Male,Sunglasses,Accessories,48.0,Montana,M,Orange,Fall,3.6,Yes,2-Day Shipping,Yes,Yes,48,Cash,Bi-Weekly,10/03/2023
737,18.0,Male,Dress,Clothing,58.0,Colorado,L,Maroon,Spring,2.9,Yes,2-Day Shipping,Yes,Yes,32,Credit Card,Every 3 Months,10/03/2023
738,47.0,Male,Sunglasses,Accessories,24.0,Nebraska,M,Teal,Spring,3.6,Yes,Store Pickup,Yes,Yes,28,PayPal,Annually,10/03/2023
739,56.0,Male,Sunglasses,Accessories,31.0,Minnesota,L,Orange,Winter,3.5,Yes,2-Day Shipping,Yes,Yes,27,Venmo,Quarterly,10/03/2023
740,64.0,Male,Shorts,Clothing,29.0,Minnesota,S,Purple,Summer,3.5,Yes,Free Shipping,Yes,Yes,26,Venmo,Bi-Weekly,10/03/2023
741,26.0,Male,Jeans,Clothing,69.0,South Dakota,M,Orange,Summer,2.8,Yes,Next Day Air,Yes,Yes,22,Credit Card,Fortnightly,11/03/2023
742,22.0,Male,T-shirt,Clothing,79.0,West Virginia,XL,Yellow,Summer,4.7,Yes,Free Shipping,Yes,Yes,23,Bank Transfer,Every 3 Months,11/03/2023
743,64.0,Male,Pants,Clothing,39.0,Nevada,M,Charcoal,Summer,3.1,Yes,Express,Yes,Yes,21,Debit Card,Quarterly,11/03/2023
744,21.0,Male,Sunglasses,Accessories,84.0,North Carolina,L,Gray,Fall,4.9,Yes,Free Shipping,Yes,Yes,36,Cash,Weekly,11/03/2023
745,67.0,Male,Boots,Footwear,66.0,Illinois,S,Charcoal,Spring,4.1,Yes,Next Day Air,Yes,Yes,42,Debit Card,Bi-Weekly,11/03/2023
746,46.0,Male,T-shirt,Clothing,92.0,Michigan,L,Orange,Fall,4.7,Yes,Standard,Yes,Yes,4,Venmo,Monthly,11/03/2023
747,40.0,Male,Sandals,Footwear,45.0,Michigan,M,Red,Winter,2.5,Yes,Free Shipping,Yes,Yes,47,Credit Card,Annually,11/03/2023
748,51.0,Male,Shorts,Clothing,74.0,Oklahoma,L,Gold,Spring,4.4,Yes,Next Day Air,Yes,Yes,13,Bank Transfer,Weekly,11/03/2023
749,35.0,Male,Hat,Accessories,39.0,South Dakota,L,Brown,Fall,3.9,Yes,Free Shipping,Yes,Yes,8,Bank Transfer,Quarterly,11/03/2023
750,56.0,Male,Scarf,Accessories,71.0,Oklahoma,M,Olive,Winter,3.7,Yes,Standard,Yes,Yes,11,Debit Card,Quarterly,11/03/2023
751,25.0,Male,T-shirt,Clothing,95.0,Maryland,L,Violet,Fall,3.4,Yes,Free Shipping,Yes,Yes,5,Venmo,Annually,12/03/2023
752,65.0,Male,Gloves,Accessories,72.0,Ohio,L,Indigo,Fall,4.8,Yes,Free Shipping,Yes,Yes,1,Credit Card,Monthly,12/03/2023
753,39.0,Male,Scarf,Accessories,85.0,Ohio,L,Yellow,Fall,4.2,Yes,2-Day Shipping,Yes,Yes,17,PayPal,Every 3 Months,12/03/2023
754,47.0,Male,Boots,Footwear,54.0,Massachusetts,M,Teal,Fall,3.4,Yes,Store Pickup,Yes,Yes,27,Venmo,Quarterly,12/03/2023
755,36.0,Male,Gloves,Accessories,41.0,North Carolina,L,Pink,Spring,2.9,Yes,Store Pickup,Yes,Yes,3,Debit Card,Quarterly,12/03/2023
756,66.0,Male,Coat,Outerwear,24.0,Florida,M,Violet,Spring,3.3,Yes,Free Shipping,Yes,Yes,22,PayPal,Weekly,12/03/2023
757,62.0,Male,Belt,Accessories,99.0,Montana,S,Orange,Summer,4.8,Yes,Standard,Yes,Yes,24,Cash,Fortnightly,12/03/2023
758,41.0,Male,Hoodie,Clothing,32.0,Minnesota,M,Red,Fall,3.8,Yes,Store Pickup,Yes,Yes,18,Debit Card,Quarterly,12/03/2023
759,66.0,Male,Shoes,Footwear,71.0,Massachusetts,L,Peach,Summer,4.6,Yes,2-Day Shipping,Yes,Yes,39,Bank Transfer,Every 3 Months,12/03/2023
760,51.0,Male,Dress,Clothing,49.0,Rhode Island,XL,Green,Winter,2.6,Yes,Next Day Air,Yes,Yes,25,Credit Card,Fortnightly,12/03/2023
761,33.0,Male,Gloves,Accessories,50.0,Minnesota,XL,Violet,Fall,3.4,Yes,Free Shipping,Yes,Yes,6,Cash,Annually,12/03/2023
762,57.0,Male,Jewelry,Accessories,91.0,Nevada,L,Yellow,Fall,4.2,Yes,Express,Yes,Yes,26,Bank Transfer,Weekly,13/03/2023
763,45.0,Male,Belt,Accessories,46.0,New Mexico,M,Pink,Fall,3.9,Yes,Standard,Yes,Yes,43,Debit Card,Fortnightly,13/03/2023
764,61.0,Male,Sweater,Clothing,50.0,North Carolina,M,Brown,Spring,2.9,Yes,2-Day Shipping,Yes,Yes,6,Credit Card,Monthly,13/03/2023
765,55.0,Male,Skirt,Clothing,39.0,Virginia,XL,Silver,Fall,4.2,Yes,Free Shipping,Yes,Yes,6,Debit Card,Quarterly,13/03/2023
766,54.0,Male,Sneakers,Footwear,99.0,Alaska,M,Pink,Summer,3.0,Yes,Store Pickup,Yes,Yes,13,Cash,Quarterly,13/03/2023
767,57.0,Male,Gloves,Accessories,48.0,Nevada,M,Cyan,Winter,3.6,Yes,Next Day Air,Yes,Yes,13,PayPal,Monthly,13/03/2023
768,27.0,Male,Coat,Outerwear,77.0,Pennsylvania,M,Brown,Fall,2.5,Yes,Next Day Air,Yes,Yes,11,Cash,Annually,13/03/2023
769,64.0,Male,Backpack,Accessories,95.0,Illinois,XL,Red,Spring,2.6,Yes,Express,Yes,Yes,45,Venmo,Weekly,13/03/2023
770,52.0,Male,Socks,Clothing,100.0,Delaware,M,Silver,Spring,4.3,Yes,Store Pickup,Yes,Yes,8,PayPal,Monthly,13/03/2023
771,19.0,Male,Sneakers,Footwear,54.0,Vermont,M,Gray,Spring,3.3,Yes,Express,Yes,Yes,8,Credit Card,Annually,13/03/2023
772,22.0,Male,Sweater,Clothing,68.0,Hawaii,L,Cyan,Fall,2.6,Yes,Next Day Air,Yes,Yes,34,Bank Transfer,Fortnightly,13/03/2023
773,18.0,Male,Jeans,Clothing,,Illinois,L,Teal,Fall,3.6,Yes,Free Shipping,Yes,Yes,40,Debit Card,Bi-Weekly,14/03/2023
774,29.0,Male,Hat,Accessories,84.0,California,L,Indigo,Winter,2.6,Yes,Express,Yes,Yes,14,Debit Card,Bi-Weekly,14/03/2023
775,42.0,Male,Hat,Accessories,46.0,Nevada,M,Yellow,Summer,3.5,Yes,Standard,Yes,Yes,11,Credit Card,Quarterly,14/03/2023
776,49.0,Male,Handbag,Accessories,53.0,Kentucky,S,Gold,Winter,3.0,Yes,Store Pickup,Yes,Yes,8,PayPal,Monthly,14/03/2023
777,49.0,Male,Shirt,Clothing,60.0,Alabama,M,Maroon,Spring,5.0,Yes,Standard,Yes,Yes,8,Venmo,Every 3 Months,14/03/2023
778,55.0,Male,Socks,Clothing,32.0,Wyoming,XL,Silver,Spring,2.5,Yes,Express,Yes,Yes,37,Venmo,Weekly,14/03/2023
779,29.0,Male,Socks,Clothing,50.0,Massachusetts,M,Yellow,Summer,2.9,Yes,Store Pickup,Yes,Yes,23,Debit Card,Annually,14/03/2023
780,60.0,Male,Dress,Clothing,94.0,Utah,M,Blue,Spring,4.6,Yes,Express,Yes,Yes,38,Cash,Annually,14/03/2023
781,34.0,Male,Shoes,Footwear,26.0,New York,M,Turquoise,Spring,3.6,Yes,Free Shipping,Yes,Yes,38,Cash,Quarterly,14/03/2023
782,30.0,Male,Scarf,Accessories,44.0,Vermont,L,Indigo,Winter,3.0,Yes,Store Pickup,Yes,Yes,12,Credit Card,Fortnightly,14/03/2023
783,28.0,Male,Hoodie,Clothing,57.0,Hawaii,M,Green,Summer,4.5,Yes,Standard,Yes,Yes,15,Cash,Weekly,15/03/2023
784,63.0,Male,T-shirt,Clothing,65.0,Louisiana,L,Purple,Winter,4.5,Yes,Next Day Air,Yes,Yes,38,PayPal,Fortnightly,15/03/2023
785,31.0,Male,Jeans,Clothing,72.0,Alabama,M,Peach,Winter,3.2,Yes,Store Pickup,Yes,Yes,41,Bank Transfer,Every 3 Months,15/03/2023
786,46.0,Male,Shorts,Clothing,62.0,Louisiana,S,Purple,Spring,4.0,Yes,Next Day Air,Yes,Yes,37,PayPal,Fortnightly,15/03/2023
787,70.0,Male,Hat,Accessories,21.0,Indiana,S,Teal,Winter,4.8,Yes,Express,Yes,Yes,16,Bank Transfer,Every 3 Months,15/03/2023
788,53.0,Male,Handbag,Accessories,85.0,Michigan,S,Green,Spring,3.7,Yes,Free Shipping,Yes,Yes,25,Venmo,Weekly,15/03/2023
789,50.0,Male,Pants,Clothing,51.0,Rhode Island,XL,Yellow,Summer,3.8,Yes,Store Pickup,Yes,Yes,18,Bank Transfer,Quarterly,15/03/2023
790,33.0,Male,Handbag,Accessories,84.0,Idaho,S,Purple,Fall,2.7,Yes,Standard,Yes,Yes,4,Credit Card,Bi-Weekly,15/03/2023
791,22.0,Male,Sweater,Clothing,37.0,Louisiana,M,Indigo,Summer,4.9,Yes,Store Pickup,Yes,Yes,12,Bank Transfer,Quarterly,15/03/2023
792,50.0,Male,Scarf,Accessories,44.0,North Carolina,S,Magenta,Summer,3.1,Yes,2-Day Shipping,Yes,Yes,35,PayPal,Fortnightly,15/03/2023
793,34.0,Male,Sneakers,Footwear,45.0,New Jersey,M,Violet,Spring,4.2,Yes,Next Day Air,Yes,Yes,45,Venmo,Weekly,15/03/2023
794,24.0,Male,Pants,Clothing,35.0,Alabama,L,Maroon,Summer,3.8,Yes,Free Shipping,Yes,Yes,16,Credit Card,Monthly,16/03/2023
795,69.0,Male,Backpack,Accessories,50.0,Kentucky,XL,Yellow,Winter,4.2,Yes,Store Pickup,Yes,Yes,10,Debit Card,Fortnightly,16/03/2023
796,39.0,Male,Sandals,Footwear,26.0,New York,M,Beige,Summer,4.6,Yes,Store Pickup,Yes,Yes,34,Venmo,Annually,16/03/2023
797,42.0,Male,Socks,Clothing,78.0,Arizona,XL,Black,Fall,4.0,Yes,2-Day Shipping,Yes,Yes,43,Credit Card,Annually,16/03/2023
798,42.0,Male,Coat,Outerwear,82.0,Maryland,M,Violet,Fall,4.0,Yes,2-Day Shipping,Yes,Yes,38,Debit Card,Weekly,16/03/2023
799,29.0,Male,Socks,Clothing,39.0,Alaska,M,Violet,Spring,3.8,Yes,2-Day Shipping,Yes,Yes,48,PayPal,Every 3 Months,16/03/2023
800,55.0,Male,Belt,Accessories,55.0,Nevada,L,Brown,Summer,3.3,Yes,Free Shipping,Yes,Yes,31,PayPal,Annually,16/03/2023
801,32.0,Male,Socks,Clothing,20.0,Utah,S,Gold,Summer,2.6,Yes,Free Shipping,Yes,Yes,20,Cash,Every 3 Months,16/03/2023
802,25.0,Male,Belt,Accessories,29.0,New Mexico,L,Blue,Fall,4.9,Yes,Express,Yes,Yes,12,Credit Card,Fortnightly,16/03/2023
803,38.0,Male,Pants,Clothing,41.0,Delaware,M,Teal,Winter,3.5,Yes,Next Day Air,Yes,Yes,2,Bank Transfer,Weekly,16/03/2023
804,32.0,Male,Shorts,Clothing,38.0,Connecticut,L,Silver,Winter,2.8,Yes,Express,Yes,Yes,30,Venmo,Every 3 Months,16/03/2023
805,43.0,Male,Boots,Footwear,47.0,Mississippi,M,Maroon,Summer,2.6,Yes,Store Pickup,Yes,Yes,28,Venmo,Quarterly,17/03/2023
806,41.0,Male,Dress,Clothing,30.0,Connecticut,L,White,Summer,3.7,Yes,Next Day Air,Yes,Yes,40,Debit Card,Monthly,17/03/2023
807,56.0,Male,Jeans,Clothing,56.0,Florida,L,Charcoal,Summer,2.7,Yes,Standard,Yes,Yes,46,PayPal,Quarterly,17/03/2023
808,27.0,Male,T-shirt,Clothing,89.0,New York,S,Brown,Winter,3.3,Yes,Express,Yes,Yes,15,Credit Card,Weekly,17/03/2023
809,46.0,Male,Shoes,Footwear,96.0,Wisconsin,L,Lavender,Fall,4.6,Yes,Next Day Air,Yes,Yes,38,Cash,Every 3 Months,17/03/2023
810,48.0,Male,Boots,Footwear,81.0,South Carolina,M,Violet,Fall,4.9,Yes,Next Day Air,Yes,Yes,30,PayPal,Bi-Weekly,17/03/2023
811,52.0,Male,Scarf,Accessories,83.0,South Dakota,S,Lavender,Fall,4.9,Yes,Store Pickup,Yes,Yes,32,Debit Card,Bi-Weekly,17/03/2023
812,18.0,Male,Sneakers,Footwear,35.0,Illinois,M,Green,Winter,2.7,Yes,Free Shipping,Yes,Yes,36,Venmo,Quarterly,17/03/2023
813,64.0,Male,Boots,Footwear,56.0,Alaska,M,Olive,Summer,3.2,Yes,Standard,Yes,Yes,32,Credit Card,Weekly,17/03/2023
814,54.0,Male,Handbag,Accessories,45.0,Montana,S,Olive,Summer,2.9,Yes,Store Pickup,Yes,Yes,14,Debit Card,Annually,17/03/2023
815,31.0,Male,Shirt,Clothing,62.0,Minnesota,M,Pink,Winter,3.8,Yes,Express,Yes,Yes,8,PayPal,Monthly,17/03/2023
816,30.0,Male,Hat,Accessories,84.0,West Virginia,L,Teal,Spring,3.0,Yes,Next Day Air,Yes,Yes,27,Venmo,Bi-Weekly,18/03/2023
817,26.0,Male,Sweater,Clothing,24.0,Illinois,L,Cyan,Summer,3.9,Yes,Store Pickup,Yes,Yes,24,Debit Card,Monthly,18/03/2023
818,25.0,Male,Handbag,Accessories,21.0,Nevada,S,Gray,Spring,4.7,Yes,Store Pickup,Yes,Yes,30,PayPal,Fortnightly,18/03/2023
819,59.0,Male,Shirt,Clothing,91.0,Idaho,M,Peach,Winter,4.9,Yes,Store Pickup,Yes,Yes,34,Debit Card,Monthly,18/03/2023
820,55.0,Male,Sunglasses,Accessories,36.0,Colorado,S,Teal,Winter,4.8,Yes,Next Day Air,Yes,Yes,28,Debit Card,Quarterly,18/03/2023
821,56.0,Male,Sneakers,Footwear,39.0,Louisiana,M,Turquoise,Spring,2.5,Yes,2-Day Shipping,Yes,Yes,27,Debit Card,Monthly,18/03/2023
822,62.0,Male,Hoodie,Clothing,39.0,Vermont,M,Green,Spring,3.9,Yes,Standard,Yes,Yes,31,Credit Card,Bi-Weekly,18/03/2023
823,35.0,Male,Shirt,Clothing,59.0,Mississippi,L,Magenta,Winter,3.4,Yes,Standard,Yes,Yes,23,Bank Transfer,Annually,18/03/2023
824,51.0,Male,Sunglasses,Accessories,27.0,Georgia,M,Green,Winter,2.5,Yes,Free Shipping,Yes,Yes,11,Credit Card,Quarterly,18/03/2023
825,61.0,Male,Blouse,Clothing,94.0,Georgia,M,White,Spring,3.0,Yes,Store Pickup,Yes,Yes,48,Cash,Quarterly,18/03/2023
826,27.0,Male,Belt,Accessories,94.0,Nebraska,XL,Brown,Fall,3.6,Yes,Next Day Air,Yes,Yes,17,Cash,Monthly,19/03/2023
827,54.0,Male,Dress,Clothing,94.0,Massachusetts,M,Purple,Winter,3.6,Yes,Standard,Yes,Yes,36,PayPal,Weekly,19/03/2023
828,31.0,Male,Shoes,Footwear,51.0,Colorado,S,Green,Fall,4.1,Yes,Free Shipping,Yes,Yes,33,Bank Transfer,Fortnightly,19/03/2023
829,24.0,Male,Socks,Clothing,62.0,Nevada,M,Peach,Fall,3.7,Yes,2-Day Shipping,Yes,Yes,27,PayPal,Bi-Weekly,19/03/2023
830,42.0,Male,Socks,Clothing,57.0,Idaho,S,Silver,Spring,3.1,Yes,2-Day Shipping,Yes,Yes,14,Credit Card,Fortnightly,19/03/2023
831,41.0,Male,Shorts,Clothing,76.0,Wyoming,M,Maroon,Fall,4.2,Yes,Express,Yes,Yes,5,Credit Card,Annually,19/03/2023
832,66.0,Male,Gloves,Accessories,63.0,Washington,M,Red,Summer,4.3,Yes,Express,Yes,Yes,47,Cash,Every 3 Months,19/03/2023
833,58.0,Male,Jacket,Outerwear,80.0,California,L,Blue,Fall,2.5,Yes,Express,Yes,Yes,28,Cash,Bi-Weekly,19/03/2023
834,43.0,Male,Handbag,Accessories,68.0,Oklahoma,M,Purple,Fall,3.5,Yes,Standard,Yes,Yes,11,Credit Card,Annually,19/03/2023
835,52.0,Male,Backpack,Accessories,89.0,Nevada,M,Indigo,Summer,3.1,Yes,Free Shipping,Yes,Yes,18,Credit Card,Weekly,19/03/2023
836,35.0,Male,Boots,Footwear,26.0,Maryland,L,Indigo,Summer,2.5,Yes,Next Day Air,Yes,Yes,21,Debit Card,Weekly,19/03/2023
837,23.0,Male,Gloves,Accessories,90.0,West Virginia,L,Violet,Winter,3.9,Yes,Store Pickup,Yes,Yes,22,Cash,Bi-Weekly,20/03/2023
838,25.0,Male,Hoodie,Clothing,28.0,Illinois,L,Brown,Spring,4.9,Yes,Express,Yes,Yes,33,Cash,Every 3 Months,20/03/2023
839,33.0,Male,Coat,Outerwear,29.0,Kentucky,M,Gray,Spring,4.3,Yes,Express,Yes,Yes,49,Credit Card,Annually,20/03/2023
840,48.0,Male,Shirt,Clothing,31.0,Illinois,L,Teal,Spring,2.6,Yes,Free Shipping,Yes,Yes,10,Debit Card,Every 3 Months,20/03/2023
841,42.0,Male,Shirt,Clothing,24.0,Alabama,L,Teal,Summer,4.2,Yes,2-Day Shipping,Yes,Yes,18,PayPal,Weekly,20/03/2023
842,55.0,Male,Sweater,Clothing,88.0,Texas,M,Beige,Summer,2.6,Yes,Store Pickup,Yes,Yes,28,PayPal,Fortnightly,20/03/2023
843,59.0,Male,Shirt,Clothing,87.0,Missouri,M,Violet,Spring,3.6,Yes,Express,Yes,Yes,25,PayPal,Weekly,20/03/2023
844,65.0,Male,Hoodie,Clothing,80.0,Pennsylvania,S,Beige,Summer,3.2,Yes,Express,Yes,Yes,6,PayPal,Weekly,20/03/2023
845,59.0,Male,Sandals,Footwear,48.0,Missouri,L,Purple,Winter,4.4,Yes,Express,Yes,Yes,44,Venmo,Bi-Weekly,20/03/2023
846,31.0,Male,Belt,Accessories,21.0,Michigan,XL,Charcoal,Winter,3.7,Yes,Standard,Yes,Yes,30,Venmo,Monthly,20/03/2023
847,49.0,Male,Boots,Footwear,72.0,Kentucky,M,Pink,Spring,3.7,Yes,Express,Yes,Yes,42,Debit Card,Quarterly,20/03/2023
848,53.0,Male,Hoodie,Clothing,44.0,New Jersey,L,Blue,Fall,4.1,Yes,Standard,Yes,Yes,30,PayPal,Monthly,21/03/2023
849,48.0,Male,Sandals,Footwear,73.0,Delaware,M,Lavender,Fall,3.6,Yes,Store Pickup,Yes,Yes,33,Credit Card,Bi-Weekly,21/03/2023
850,23.0,Male,Jeans,Clothing,61.0,Missouri,S,Charcoal,Spring,4.3,Yes,Express,Yes,Yes,24,PayPal,Quarterly,21/03/2023
851,68.0,Male,Shoes,Footwear,20.0,Connecticut,L,Turquoise,Winter,2.6,Yes,Store Pickup,Yes,Yes,13,Venmo,Monthly,21/03/2023
852,35.0,Male,Sandals,Footwear,86.0,Massachusetts,M,Red,Summer,2.9,Yes,Express,Yes,Yes,19,Debit Card,Monthly,21/03/2023
853,34.0,Male,Dress,Clothing,60.0,Florida,L,Yellow,Spring,4.2,Yes,Next Day Air,Yes,Yes,23,Debit Card,Every 3 Months,21/03/2023
854,62.0,Male,Hat,Accessories,43.0,Delaware,L,Orange,Winter,4.0,Yes,Free Shipping,Yes,Yes,35,Cash,Monthly,21/03/2023
855,21.0,Male,Pants,Clothing,44.0,California,L,Blue,Spring,4.3,Yes,Free Shipping,Yes,Yes,22,Venmo,Monthly,21/03/2023
856,70.0,Male,Socks,Clothing,76.0,Oregon,L,Gold,Spring,3.0,Yes,2-Day Shipping,Yes,Yes,14,Credit Card,Quarterly,21/03/2023
857,55.0,Male,Shirt,Clothing,33.0,Alaska,M,Gold,Summer,3.5,Yes,Express,Yes,Yes,47,Debit Card,Fortnightly,21/03/2023
858,43.0,Male,Shorts,Clothing,60.0,Missouri,L,Cyan,Fall,3.0,Yes,Standard,Yes,Yes,50,Debit Card,Every 3 Months,22/03/2023
859,19.0,Male,Jacket,Outerwear,26.0,Oklahoma,L,Olive,Fall,3.1,Yes,Free Shipping,Yes,Yes,33,PayPal,Weekly,22/03/2023
860,47.0,Male,Hoodie,Clothing,73.0,Wisconsin,M,Teal,Winter,4.0,Yes,Next Day Air,Yes,Yes,7,Debit Card,Monthly,22/03/2023
861,,Male,Shoes,Footwear,87.0,South Carolina,M,Maroon,Spring,4.1,Yes,Standard,Yes,Yes,3,Cash,Monthly,22/03/2023
862,46.0,Male,Skirt,Clothing,100.0,Virginia,XL,Green,Spring,3.3,Yes,2-Day Shipping,Yes,Yes,35,Credit Card,Every 3 Months,22/03/2023
863,19.0,Male,Coat,Outerwear,84.0,Arkansas,M,Charcoal,Winter,4.9,Yes,Standard,Yes,Yes,13,PayPal,Fortnightly,22/03/2023
864,49.0,Male,Sneakers,Footwear,41.0,Vermont,M,Cyan,Summer,3.9,Yes,Standard,Yes,Yes,42,PayPal,Fortnightly,22/03/2023
865,51.0,Male,Jeans,Clothing,59.0,Kentucky,S,Charcoal,Winter,3.9,Yes,Next Day Air,Yes,Yes,5,PayPal,Annually,22/03/2023
866,64.0,Male,Blouse,Clothing,26.0,Colorado,L,Charcoal,Winter,4.8,Yes,Store Pickup,Yes,Yes,23,Venmo,Annually,22/03/2023
867,67.0,Male,Sunglasses,Accessories,69.0,New Mexico,M,Lavender,Summer,2.7,Yes,Free Shipping,Yes,Yes,11,PayPal,Bi-Weekly,22/03/2023
868,37.0,Male,Jacket,Outerwear,20.0,Colorado,M,Turquoise,Spring,3.1,Yes,Free Shipping,Yes,Yes,23,Bank Transfer,Fortnightly,22/03/2023
869,40.0,Male,Dress,Clothing,83.0,North Carolina,M,Green,Summer,3.2,Yes,Next Day Air,Yes,Yes,2,Credit Card,Every 3 Months,23/03/2023
870,38.0,Male,Hat,Accessories,54.0,New Hampshire,M,Silver,Spring,2.7,Yes,2-Day Shipping,Yes,Yes,33,PayPal,Weekly,23/03/2023
871,66.0,Male,Hoodie,Clothing,66.0,West Virginia,M,Blue,Fall,2.5,Yes,Standard,Yes,Yes,6,Bank Transfer,Bi-Weekly,23/03/2023
872,47.0,Male,Handbag,Accessories,42.0,Hawaii,M,Charcoal,Spring,2.6,Yes,Next Day Air,Yes,Yes,45,Debit Card,Quarterly,23/03/2023
873,56.0,Male,Jeans,Clothing,33.0,North Dakota,M,Pink,Spring,2.9,Yes,Standard,Yes,Yes,25,Cash,Quarterly,23/03/2023
874,51.0,Male,Boots,Footwear,77.0,Mississippi,M,Pink,Summer,4.2,Yes,Free Shipping,Yes,Yes,24,Venmo,Quarterly,23/03/2023
875,25.0,Male,Jacket,Outerwear,65.0,Maine,M,Magenta,Fall,4.4,Yes,Free Shipping,Yes,Yes,10,Venmo,Every 3 Months,23/03/2023
876,37.0,Male,Sandals,Footwear,39.0,North Dakota,L,Gray,Summer,4.1,Yes,Free Shipping,Yes,Yes,7,Bank Transfer,Every 3 Months,23/03/2023
877,41.0,Male,Belt,Accessories,51.0,Nebraska,L,Gray,Summer,3.8,Yes,2-Day Shipping,Yes,Yes,1,Debit Card,Weekly,23/03/2023
878,64.0,Male,Handbag,Accessories,65.0,Nebraska,M,Orange,Winter,4.9,Yes,Next Day Air,Yes,Yes,45,Venmo,Every 3 Months,23/03/2023
879,23.0,Male,Sunglasses,Accessories,89.0,Tennessee,S,Black,Summer,4.9,Yes,Express,Yes,Yes,37,Debit Card,Weekly,23/03/2023
880,62.0,Male,Skirt,Clothing,76.0,Wyoming,S,Lavender,Spring,4.1,Yes,Free Shipping,Yes,Yes,14,PayPal,Quarterly,24/03/2023
881,39.0,Male,Backpack,Accessories,75.0,Nevada,L,Red,Spring,3.1,Yes,Express,Yes,Yes,25,Debit Card,Monthly,24/03/2023
882,52.0,Male,Sandals,Footwear,61.0,South Carolina,M,Silver,Summer,2.7,Yes,Next Day Air,Yes,Yes,18,Venmo,Annually,24/03/2023
